source_system_code,policy_number,agency_id,agency_name,sub_category,group
TMF,WC900321,10010,OTHER,OTHER - THE LEGISLATURE,1
TMF,WC900331,10015,OTHER,OTHER - CABINET OFFICE,1
TMF,WC900772,10015,OTHER,OTHER - CABINET OFFICE,1
TMF,WC900275,10020,OTHER,OTHER - DEPARTMENT OF PREMIER AND CABINET,1
TMF,WC900665,10020,OTHER,OTHER - PUBLIC EMPLOYMENT OFFICE,1
TMF,WC900773,10025,OTHER,OTHER - PARLIAMENTARY COUNSEL'S OFFICE,1
TMF,WC900547,10035,OTHER,OTHER - INDEPENDENT PRICING AND REGULATORY TRIBUNAL,1
TMF,WC900327,10045,OTHER,OTHER - INDEPENDENT COMMISSION AGAINST CORRUPTION,1
TMF,WC900305,10050,OTHER,OTHER - NSW OMBUDSMAN,1
TMF,T10083,10052,OTHER,OTHER - PUBLIC SERVICE COMMISSION,1
TMF,WC900311,10060,OTHER,OTHER - NSW ELECTORAL COMMISSION,1
TMF,WC900310,10065,OTHER,OTHER - NSW CRIME COMMISSION,1
TMF,WC900306,10069,OTHER,OTHER - DEPARTMENT OF URBAN AFFAIRS,3
TMF,WC900695,10069,OTHER,OTHER - MINISTRY OF URBAN INFRASTRUCTURE MANAGEM,Not assigned
TMF,WC900397,10090,OTHER,OTHER - SOUTHERN METROPOLITIAN DEVELOP,Not assigned
TMF,WC900398,10090,OTHER,OTHER - WESTERN SYDNEY DEVELOPMENTAL DISABILITY,Not assigned
TMF,MWJ3333309,10142,OTHER,OTHER - WORLD YOUTH DAY COORDINATION,Not assigned
TMF,MWJ3333297,10250,POLICE,POLICE - SOUTH WEST METRO,7
TMF,WC900264,10250,POLICE,POLICE - OTHER,8
TMF,WC900332,10250,POLICE,POLICE - OTHER,5
TMF,WC900537,10250,POLICE,POLICE - OTHER,5
TMF,WC900538,10250,POLICE,POLICE - OPERATIONAL SUPPORT,5
TMF,WC900539,10250,POLICE,POLICE - NORTHERN REGION,7
TMF,WC900540,10250,POLICE,POLICE - NORTH-WEST REGION,7
TMF,WC900541,10250,POLICE,POLICE - SOUTHERN REGION,5
TMF,WC900542,10250,POLICE,POLICE - OTHER,7
TMF,WC900543,10250,POLICE,POLICE - OTHER,8
TMF,WC900544,10250,POLICE,POLICE - OTHER,8
TMF,WC900631,10250,POLICE,POLICE - OTHER,7
TMF,WC900720,10250,POLICE,POLICE - OTHER,7
TMF,WC900721,10250,POLICE,POLICE - OTHER,5
TMF,WC900722,10250,POLICE,POLICE - OTHER,5
TMF,WC900723,10250,POLICE,POLICE - OTHER,7
TMF,WC900724,10250,POLICE,POLICE - OTHER,7
TMF,WC900725,10250,POLICE,POLICE - OTHER,5
TMF,WC900726,10250,POLICE,POLICE - OTHER,5
TMF,WC900727,10250,POLICE,POLICE - OTHER,7
TMF,WC900728,10250,POLICE,POLICE - OTHER,5
TMF,WC900729,10250,POLICE,POLICE - OTHER,7
TMF,WC900730,10250,POLICE,POLICE - OTHER,8
TMF,WC900731,10250,POLICE,POLICE - OTHER,8
TMF,WC900732,10250,POLICE,POLICE - OTHER,8
TMF,WC900733,10250,POLICE,POLICE - OTHER,5
TMF,WC900734,10250,POLICE,POLICE - OTHER,5
TMF,WC900735,10250,POLICE,POLICE - OTHER,5
TMF,WC900854,10250,POLICE,POLICE - CENTRAL METROPOLITAN,8
TMF,WC900855,10250,POLICE,POLICE - NORTH WEST METRO,7
TMF,WC900856,10250,POLICE,POLICE - NORTHERN REGION,7
TMF,WC900857,10250,POLICE,POLICE - SOUTHERN REGION,5
TMF,WC900859,10250,POLICE,POLICE - SPECIALIST OPERATIONS,5
TMF,WC900860,10250,POLICE,POLICE - OPERATIONS SUPPORT,5
TMF,WC900861,10250,POLICE,POLICE - OTHER,5
TMF,WC900862,10250,POLICE,POLICE - WESTERN REGION,8
TMF,WC900630,10255,POLICE,POLICE - OTHER,7
TMF,WC900266,10260,OTHER,OTHER - SES,5
TMF,WC900477,10260,OTHER,OTHER - SES,5
TMF,T10082,10265,OTHER,OTHER - SES,5
TMF,WC900276,10270,OTHER,OTHER - DCS,5
TMF,WC900592,10270,OTHER,OTHER - DCS,5
TMF,WC900593,10270,OTHER,OTHER - DCS,5
TMF,WC900594,10270,OTHER,OTHER - DCS,5
TMF,WC900595,10270,OTHER,OTHER - DCS,5
TMF,WC900596,10270,OTHER,OTHER - DCS,5
